DATE-TIME ,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
03-07-2023 11:06,lift,"The lifts for Wings B and C are behind me. The lifts for Wing A are straight ahead and to the left, near the other entrance. How can I assist you further?",,,0,
03-07-2023 11:06,yes thank you so much I'm going to am looking for a meeting room please,Of course! I'm here to help. Could you please provide me with the name or number of the meeting room you are looking for?,,,1,
,,,NEW PERSON,,,
03-07-2023 11:06,yes I am looking for the meeting room VA 45,Sure! Let me check the directions for you.,,,2,
03-07-2023 11:07,oh thank you so much I appreciate it,"You're welcome! I'm here to help. If you have any questions or need assistance finding your way around the campus, just let me know.",,,3,
,,,,,,three is taken as V
03-07-2023 11:07,alright thank you so much how about you,"Thank you for asking! As a robot, I don't have personal feelings or experiences, but I'm always here to assist you with any questions or directions you may need. How can I help you further?",,,4,
03-07-2023 11:07,do I don't need further information thank you,"You're welcome! If you have any other questions or need assistance in the future, feel free to ask. Have a great day!",,,5,
03-07-2023 11:08,wash,Hello! How can I assist you today?,,,6,
03-07-2023 11:09,wash,Hello! How can I assist you today?,,,7,
03-07-2023 11:10,wash,Hello! How can I assist you today?,,,8,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
03-07-2023 11:10,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you need any information or directions, feel free to ask me.",,,9,
,,,IGNORED,,,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:11,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you have any questions or need directions, feel free to ask.",,,10,
,,,NEW PERSON,2,,
,,,,,,person takes photo 
03-07-2023 11:11,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,11,
03-07-2023 11:11,which building is this,Hello! You are currently in the NU Building. How can I assist you today?,,,12,
03-07-2023 11:11,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,13,
,,,DROPOUT,,,
,,,,,,"person shocked that robotanswered, and left"
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:12,hi need directions are just feel like heading I'm here for you,"Hi there! I'm Pepper, and I'm here to assist you with directions. Just let me know where you want to go, and I'll provide you with the directions. How can I help you today?",,,14,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03-07-2023 11:13,Angry Birds give find me robot companion and here's a chance,Hello there! How can I assist you today?,,,15,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03-07-2023 11:14,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,16,
,,,,,,person stopped looked and walked by
,,,ACKNOWLEDGED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:15,give find me robot companion and here's a chance,"Hello! I'm Pepper, your friendly robot assistant. How can I assist you today? If you need help finding a location or have any questions, feel free to ask!",,,17,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:15,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, the friendly robot at the reception. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you out!",,,18,
,,,,,,person takes video
,,,NEW PERSON,1,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:16,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you. How can I help you today? Do you need directions to a specific place on campus, or do you have any other questions?",,,19,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
03-07-2023 11:16,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus?",,,20,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
,,,NEW PERSON,1,,
03-07-2023 11:17,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions or have any questions about the campus?",,,21,
