DATE-TIME,USER INPUT,PEPPER RESPONSE,LOG BUTTON ,NUMBER OF PEOPLE,COUNT,COMMENTS
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
30-06-2023 13:08,hey need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? Do you need directions to a specific place on campus?",,,0,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
30-06-2023 13:08,hi I'm never your friend me robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,1,
,,,IGNORED,,,
30-06-2023 13:09,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,2,
,,,IGNORED,,,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
30-06-2023 13:09,readings looking for some information or directions just ask me,Hello! How can I assist you today? Do you need any information or directions? Just let me know and I'll be happy to help you.,,,3,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
30-06-2023 13:09,Angry Birds your friendly robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,4,
,,,NEW PERSON,,,
30-06-2023 13:10,what is this for,"Hello! I'm Pepper, a friendly robot here to assist you with any questions or directions you may need around the campus. Whether you're looking for a specific room, a department, or just need some general information, feel free to ask! How can I help you today?",,,5,
,,,NEW PERSON,1,,
,END,,,,,
30-06-2023 13:10,see see,Hello there! Welcome to Friye University Amsterdam. How can I assist you today?,,,6,Person tried to speak  in Spanish
30-06-2023 13:10,the rapid I want Olivia Brown Turn hello,"Hello! How can I assist you today? If you have any questions or need directions, feel free to ask.",,,7,
30-06-2023 13:11,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,8,
30-06-2023 13:11,is the cinema December I think it's very similar cuz you never had one that would go around hello,"Hello! I'm Pepper, the friendly robot at the reception. Unfortunately, there is no cinema called December here. However, we do have a cinema in the building. It is located in Wing C on the ground, 2nd, and 4th floors. If you're looking for a specific movie theater or need directions to another place, feel free to ask!",,,9,
30-06-2023 13:12,do you speak Spanish,"¡Hola! Sí, hablo español. ¿En qué puedo ayudarte?",,,10,
30-06-2023 13:12,annoying hey,Hello! How can I assist you today?,,,11,
30-06-2023 13:12,do you speak Spanish,"¡Hola! Sí, hablo español. ¿En qué puedo ayudarte hoy?",,,12,
30-06-2023 13:12,Cinema,Welcome to the cinema! How can I assist you with the cinema?,,,13,
30-06-2023 13:12,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,14,
30-06-2023 13:13,where is w n,"The WN Building is located just behind me. If you take the exit right behind me, go straight, and you will find an entrance to the WN Building towards the left.",,,15,
30-06-2023 13:13,lifts,"The lifts for Wing A are straight ahead and to the left, near the other entrance. The lifts for Wing B and Wing C are behind me.",,,16,
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
30-06-2023 13:14,I never your friend me robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,17,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,IGNORED,,,
30-06-2023 13:15,greetings looking for some information are directions just ask me,"Hello there! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you're looking for directions or any other information, just let me know!",,,18,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
30-06-2023 13:15,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you have any questions or need directions, feel free to ask!",,,19,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
30-06-2023 13:16,hi and give her your find me robot companion and here's a chance,"Hi! I'm Pepper, your friendly robot companion. How can I assist you today?",,,20,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
30-06-2023 13:16,hi need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, the friendly robot at the reception. I'm here to assist you with directions. How can I help you today?",,,21,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
30-06-2023 13:17,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you have any questions or need directions, feel free to ask.",,,22,
,,,"INVITE: Hey, feel like having a conversation? I'm here to listen and chat!",,,
30-06-2023 13:17,hey do you like having a conversation I'm here to listen and chant,"Hey there! Of course, I'm always here for a friendly conversation. How can I assist you today?",,,23,
,,,IGNORED,,,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
30-06-2023 13:18,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today? If you need directions or have any questions, feel free to ask!",,,24,
,END,,,,,
30-06-2023 13:18,bye,"Goodbye! If you have any more questions in the future, feel free to ask. Have a great day!",,,25,
